TXE;ID;TXE;"Rembele Airport";;Asia/Jakarta;4.72126;96.84848
NKO;MG;NKO;Ankokoambo;;Indian/Antananarivo;-16.583332;-44.45
AAZ;GT;AAZ;Quetzaltenango;;America/Guatemala;14.87;-91.5
NGO;JP;NGO;"Chubu Centrair International Airport";Чубу;Asia/Tokyo;34.858334;136.80528
YIV;CA;YIV;"Island Lake Airport";Гарден-Хилл;America/Winnipeg;54.2;-94.78333
USA;US;USA;Concord;Конкорд;US/Eastern;35.38661;-80.70979
TOF;RU;TOF;"Tomsk Airport";Богашёво;Asia/Novokuznetsk;56.5;84.96667
ABA;RU;ABA;"Abakan Airport";Абакан;Asia/Krasnoyarsk;53.716667;91.5
KRU;PG;KRU;Kerau;;Pacific/Port_Moresby;-8.3;147.08333
OBY;GL;OBY;Ittoqqortoormiit;Иллоккортоормиут;America/Scoresbysund;70.583336;-21.666668
AEL;US;AEL;"Albert Lea";"Альберт Ли";America/Chicago;43.65;-93.36667
ABD;IR;ABD;"Abadan Airport";Абадан;Asia/Tehran;30.363905;48.226597
NGS;JP;NGS;"Nagasaki Airport";Нагасаки;Asia/Tokyo;32.9144;129.92258
ABH;AU;ABH;Alpha;Альфа;Australia/Brisbane;-23.65;146.63333
NHT;GB;NHT;Northolt;;Europe/London;51.533333;-0.366667
BWX;ID;BWX;Banyuwangi;Баньюванги;Asia/Jakarta;-8.31046;114.34003
ABJ;CI;ABJ;"Felix Houphouet Boigny Airport";"Феликс Боини";Africa/Abidjan;5.254879;-3.933015
ADH;RU;ADH;Aldan;Алдан;Asia/Yakutsk;58.6;125.4
YKN;US;YKN;"Chan Gurney";;America/Chicago;42.916943;-97.38639
ACI;GB;ACI;"Alderney Airport";Блэй;Europe/Guernsey;49.709347;-2.215369
DDD;MV;DDD;"Dhaalu Airport";Дхаалу;Asia/Karachi;2.66581;72.8873
SBX;US;SBX;Shelby;;America/Denver;48.5;-111.85
ACT;US;ACT;"Waco Municipal Airport";Уэйко;America/Chicago;31.609133;-97.22321
YKZ;CA;YTO;"Buttonville Municipalcipal";;America/Toronto;43.86667;-79.36667
YLB;CA;YLB;"Lac Biche";;America/Edmonton;54.766666;-112.01667
YLE;CA;YLE;"Wha Ti";;America/Yellowknife;63.15;-117.26667
KLF;RU;KLF;"Grabtsevo Airport";Грабцево;Europe/Moscow;54.546667;36.368889
KLJ;LT;PLQ;Klaipeda;Клайпеда;Europe/Vilnius;55.424284;21.143408
TJS;ID;TJS;"Tanjung Selor";;Asia/Makassar;2.85;117.36667
HIT;PG;HIT;Haivaro;Хиваро;Pacific/Port_Moresby;-6.933333;143.06667
ADP;LK;ADP;Ampara;;Asia/Colombo;7.336389;81.625275
YLI;FI;YLI;Ylivieska;;Europe/Helsinki;64.05444;24.72889
AEH;TD;AEH;Abéché;Абеше;Africa/Ndjamena;13.851389;20.850834
YLJ;CA;YLJ;"Meadow Lake";;America/Regina;54.5;-108.666664
ADN;CO;ADN;Andes;Андес;America/Bogota;5.666667;-75.933334
ADU;IR;ADU;"Ardabil Airport";Ардабил;Asia/Tehran;38.323826;48.42125
YLR;CA;YLR;"Leaf Rapids";;America/Winnipeg;56.5;-100.03333
AFL;BR;AFL;"Alta Floresta Airport";Альта-Флореста;America/Cuiaba;-9.872456;-56.104767
LWV;US;LWV;Municipal;;America/Chicago;38.733334;-87.683334
AFA;AR;AFA;"San Rafael Airport";Сан-Рафаэль;America/Argentina/Mendoza;-34.58917;-68.40056
AFN;US;AFN;Municipal;;America/New_York;42.833332;-72.066666
ZWH;NA;WDH;"Windhoek Railway Station";"Виндхук (жд вокзал)";Africa/Windhoek;-22.558904;17.082481
SFB;US;ORL;"Orlando Sanford International Airport";Сэнфорд;America/New_York;28.775118;-81.2432
AFK;LK;ADP;"Kondavattavan Tank";;Asia/Colombo;40.668888;-96.00694
NLU;MX;MEX;"Santa Lucia";Синоп;America/Mexico_City;19.4;-99.15
BIU;IS;BIU;Bildudalur;Билдудалур;Atlantic/Reykjavik;65.833336;-23.983334
EMP;US;EMP;Emporia;;America/Chicago;38.3325;-96.190834
AGK;PG;AGK;Kagua;Кагуа;Pacific/Port_Moresby;-6.403333;143.84666
SEI;BR;SEI;"Senhor Do Bonfim";;America/Bahia;-10.45;-40.183334
AGR;IN;AGR;Kheria;;Asia/Kolkata;27.158333;77.962776
AIB;US;AIB;"Anita Bay";"Анита Бэй";America/Sitka;56.233334;-132.38333
YMG;CA;YMG;Manitouwadge;;America/Toronto;49.083332;-85.86667
YMX;CA;YMQ;"Mirabel International Airport";Мирабель;America/Montreal;45.666668;-74.03
OGN;JP;OGN;"Yonaguni Jima";Йонагуни-Жима;Asia/Tokyo;24.461111;122.97639
YNN;AU;YNN;Yandi;;Australia/Perth;-22.766666;119.23333
AHN;US;AHN;"Athens-Ben Epps";"Атенс-Бен Эпс";America/New_York;33.95195;-83.32472
ZIE;IT;ZIE;"Harbour (Eolie Island)";;Europe/Rome;;
AHS;HN;AHS;Ahuas;Ахуас;America/Tegucigalpa;15.441667;-84.425
ANL;AO;ANL;Andulo;Андуло;Africa/Luanda;-11.25;17.25
AJU;BR;AJU;"Aracaju Airport";Аракажу;America/Maceio;-10.987206;-37.072792
YNY;KR;YNY;"Yangyang Airport";Янъян;Asia/Seoul;38.066666;128.6
AJS;MX;AJS;Abreojos;Абреохос;America/Mazatlan;26.833332;-113.666664
BSA;SO;BSA;Bossaso;Боссасо;Africa/Mogadishu;11.283333;49.15
NME;US;NME;"Nightmute Airport";Найтмьют;America/Anchorage;60.471046;-164.70084
AMI;ID;AMI;Selaparang;;Asia/Makassar;-8.563165;116.10237
YOD;CA;YOD;"Cold Lake";;America/Edmonton;54.466667;-110.25
AKR;NG;AKR;Akure;Акуре;Africa/Lagos;7.25;5.083333
KZN;RU;KZN;"Kazan International Airport";Казань;Europe/Moscow;55.60844;49.29824
YOG;CA;YOG;Ogoki;;America/Toronto;51.666668;-85.916664
NMG;PA;NMG;"San Miguel";Сан-Мигель;America/Panama;8.366667;-78.28333
SHI;JP;SHI;Shimojishima;Симожисима;Asia/Tokyo;24.816668;125.15
ZFQ;FR;BOD;"Gare de Bordeaux";"Бордо (жд вокзал)";Europe/Paris;44.837789;-0.57918
ALP;SY;ALP;Nejrab;;Asia/Damascus;36.185352;37.227074
YAL;CA;YAL;"Alert Bay";;America/Vancouver;50.583332;-126.916664
LDC;AU;LDC;"Lindeman Island";;Australia/Lindeman;-21;149
YOK;JP;YOK;Yokohama;Йокогама;Asia/Tokyo;35.466667;139.46666
TAS;UZ;TAS;"Yuzhny Airport";Ташкент;Asia/Tashkent;41.262714;69.26619
AMO;TD;AMO;Mao;Мао;Africa/Ndjamena;14.116667;15.316667
AAQ;RU;AAQ;"Anapa Airport";Анапа;Europe/Moscow;44.9;37.316666
ADF;TR;ADF;"Adiyaman Airport";Адыяман;Europe/Istanbul;37.75;38.266666
YPC;CA;YPC;Paulatuk;;America/Yellowknife;69.35514;-124.07468
AMZ;NZ;AMZ;Ardmore;Ардмор;Pacific/Auckland;-37.033333;174.96666
ZGR;CA;ZGR;"Little Grand Rapids";;America/Winnipeg;52.066666;-95.46667
YOO;CA;QWA;Oshawa;;America/Toronto;43.916668;-78.9
AOK;GR;AOK;"Karpathos Airport";Карпатос;Europe/Athens;35.420685;27.146729
ANV;US;ANV;"Anvik Airport";Анвик;America/Anchorage;62.647778;-160.18889
YPA;CA;YPA;"Glass Field";;America/Regina;53.216667;-105.683334
YOP;CA;YOP;"Rainbow Lake";;America/Edmonton;58.5;-119.4
YBE;CA;YBE;"Uranium City";;America/Regina;59.566666;-108.48333
ABK;ET;ABK;"Kabri Dar";Кабри-Дар;Africa/Addis_Ababa;6.733889;44.26611
BKK;TH;BKK;"Suvarnabhumi Airport";Суварнабхуми;Asia/Bangkok;13.693062;100.752045
FLS;AU;FLS;"Flinders Island Airport";"Остров Флайндерс";Australia/Hobart;-40.095;147.99667
UUA;RU;UUA;"Bugulma Airport";Бугульма;Europe/Moscow;54.61667;52.816666
AKC;US;CAK;"Fulton International";;America/New_York;41.04;-81.46778
CEK;RU;CEK;"Chelyabinsk International Airport";Баландино;Asia/Yekaterinburg;55.297504;61.51235
ALI;US;ALI;International;;America/Chicago;27.75;-98.066666
AQY;US;AQY;Alyeska;;America/Anchorage;60.966667;-149.11667
APB;BO;APB;Apolo;Аполо;America/La_Paz;-14.716667;-68.51667
YPE;CA;YPE;"Peace River";;America/Edmonton;56.22778;-117.44028
VVO;RU;VVO;"Vladivostok International Airport";Кневичи;Asia/Vladivostok;43.378574;132.14075
APN;US;APN;"Alpena County Regional Airport";Алпена;America/Detroit;45.08167;-83.55583
OMS;RU;OMS;"Omsk Airport";Омск;Asia/Omsk;54.957455;73.3167
CUN;MX;CUN;"Cancun International Airport";Канкун;America/Cancun;21.040457;-86.874435
APQ;BR;APQ;Arapiraca;;America/Maceio;-9.75;-36.65
YPF;CA;YPF;Esquimalt;;America/Vancouver;48.433334;-123.4
DYU;TJ;DYU;"Dushanbe Airport";Душанбе;Asia/Dushanbe;38.54894;68.81728
BAN;CD;BAN;Basongo;Базонго;Africa/Lubumbashi;-4.313333;20.428057
YPG;CA;YPG;"Portage La Prairie";;America/Winnipeg;49.966667;-98.3
MXZ;CN;MXZ;"Mei Xian Airport";Мэйсянь;Asia/Shanghai;24.266811;116.10449
YPT;CA;YPT;"Pender Harbor";;America/Vancouver;49.493492;-123.98066
SKG;GR;SKG;"Thessaloniki International Airport";Салоники;Europe/Athens;40.520832;22.972221
NMU;MH;NMU;Namu;;Pacific/Majuro;8;168.13333
ARC;US;ARC;"Arctic Village";;America/Anchorage;68.1375;-145.52444
ICN;KR;SEL;"Incheon International Airport";Инчеон;Asia/Seoul;37.448524;126.45123
MXB;ID;MXB;Masamba;Масамба;Asia/Makassar;-2.333333;120.333336
YCE;CA;YCE;Centralia;;America/Toronto;43.283333;-81.48333
YEP;CA;YEP;"Estevan Point";;America/Vancouver;49.38333;-126.53333
YQG;CA;YQG;"Windsor International Airport";Виндзор;America/Toronto;42.274166;-82.96389
NOO;PG;NOO;Naoro;Наоро;Pacific/Port_Moresby;-9.2;147.53334
YQH;CA;YQH;"Watson Lake";;America/Whitehorse;60.12361;-128.825
GUM;GU;GUM;"A.B. Won Pat International Airport";Гуам;Pacific/Guam;13.492787;144.80486
ATP;PG;ATP;Airstrip;;Pacific/Port_Moresby;-3.166667;142.28334
AUP;PG;AUP;Agaun;Агаун;Pacific/Port_Moresby;-9.983333;149.58333
ALM;US;ALM;Municipal;;America/Denver;32.845833;-105.985275
WRE;NZ;WRE;"Whangarei Airport";Фангареи;Pacific/Auckland;-35.76742;174.36403
YRM;CA;YRM;"Rocky Mountain House";;America/Edmonton;52.36667;-114.916664
AMS;NL;AMS;"Amsterdam Airport Schiphol";Схипхол;Europe/Amsterdam;52.30907;4.763385
KHV;RU;KHV;"Khabarovsk Airport";Хабаровск;Asia/Vladivostok;48.524563;135.16861
AVN;FR;AVN;"Avignon-Caumont Airport";Авиньон;Europe/Paris;43.9;4.9
NBC;RU;NBC;"Begishevo Airport";Бегишево;Europe/Moscow;55.564125;52.10341
YRJ;CA;YRJ;Roberval;;America/Montreal;48.516666;-72.21667
BUS;GE;BUS;"Batumi Airport";Батуми;Asia/Tbilisi;41.610832;41.600555
NNK;US;NNK;Naknek;;America/Anchorage;58.733334;-157.01694
YRQ;CA;YRQ;Trois-Rivieres;;America/Montreal;46.35;-72.683334
XVA;GB;XVA;"Stockport Railway Station";;Europe/London;;
YSK;CA;YSK;"Sanikiluaq Airport";Саникилуак;America/Iqaluit;56.55;-79.21667
ASF;RU;ASF;"Astrakhan Airport";Астрахань;Europe/Samara;46.2877;47.999977
WTL;US;WTL;Tuntutuliak;;America/Anchorage;60.35;-162.63333
CSY;RU;CSY;"Cheboksary Airport";Чебоксары;Europe/Moscow;56.13333;47.266666
AYI;CO;AYI;Yari;Яри;America/Bogota;-0.333333;-72.333336
AXK;YE;AXK;Ataq;Атак;Asia/Aden;13.866667;46.3
